time,r6i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r5i1p1f1,r4i1p1f1,r10i1p1f1,r9i1p1f1,r8i1p1f1,r7i1p1f1,r4i1p5f1,r3i1p5f1,r2i1p5f1,r5i1p5f1,r1i1p5f1,r5i1p1f2,r2i1p1f2,r4i1p1f2,r3i1p1f2,r1i1p1f2,r2i1p3f1,r4i1p3f1,r5i1p3f1,r1i1p3f1,r3i1p3f1
2005-02-15 00:00:00,5.9342546,5.304485,5.459701,5.3325973,5.4928336,6.4745617,5.742414,5.1612024,6.1844764,5.803804,5.976324,6.5462728,6.036969,4.969922,5.63921,5.6086307,6.3842716,5.7437143,5.6012373,6.0205407,5.996804,6.002631,5.88314,6.506296,6.5680747
2005-03-16 12:00:00,5.8584094,5.8907275,5.7799044,5.927494,6.166382,6.159912,5.6156955,5.989491,6.020306,5.5094595,5.066328,5.787492,5.8893604,6.1869974,5.8212304,5.824351,4.9923778,5.435341,5.363582,5.908144,5.5230227,5.015102,5.9040256,5.7893577,6.00623
2005-04-16 00:00:00,5.6395974,5.700943,5.775982,6.140116,5.6091485,5.511499,5.4510117,6.263021,5.930682,5.050454,5.905181,5.808417,6.4043036,5.3759713,5.9036207,4.9909678,5.665659,5.2682023,6.066898,5.4017663,5.5272465,5.525918,5.7874494,5.5777965,5.802047
2005-05-16 12:00:00,4.57941,5.1823444,5.473353,5.568171,5.2162805,6.1595974,5.25341,5.3864408,5.0829897,5.317793,5.931873,5.3691983,4.7722187,5.1812057,6.092704,5.0614424,5.0383325,5.721673,5.689906,5.073287,5.7508526,5.690868,5.797888,5.611741,5.7143207
2005-06-16 00:00:00,5.2344,6.1230283,4.7150507,5.187417,5.375095,4.6760583,5.8866525,4.7871614,5.013685,5.55432,4.6400933,5.818876,4.5615573,5.631972,6.193231,5.018192,4.86455,6.0160937,4.533406,4.953612,6.0372825,5.4035892,4.6028996,5.12227,4.976637
2005-07-16 12:00:00,5.73015,6.1911993,4.621371,4.820814,4.8299017,4.895428,4.918356,5.0125623,4.509757,5.184316,5.593008,5.0534487,5.083333,5.728498,5.090577,5.2938757,4.8626842,5.0380116,5.4009676,4.8835034,4.4187317,5.093514,4.5363398,5.029684,4.9137278
2005-08-16 12:00:00,5.080515,5.146664,5.0818386,5.0038967,5.504733,5.125704,4.6876154,5.2568364,4.9482713,5.1415043,5.482438,5.2010365,5.618604,5.23466,5.198568,5.339926,4.435992,5.906478,4.963644,5.438337,6.0852,4.36535,5.016414,4.66459,5.610676
2005-09-16 00:00:00,5.1288137,5.281919,6.1118264,6.197775,5.538972,5.3008637,5.6345615,6.342782,5.9948173,6.5053625,5.5797086,5.573785,6.1375766,5.7445126,5.663982,5.8319364,5.325698,5.355032,5.585188,5.524234,5.427986,5.7734365,5.974293,5.721856,5.903317
2005-10-16 12:00:00,5.81461,5.668028,6.013898,6.99519,5.9534917,5.997773,5.4358463,6.312639,5.881507,5.783611,5.563141,5.825675,6.224286,6.302959,5.487726,6.094728,6.767808,5.1802917,5.879109,5.6602955,6.4957232,5.326515,5.5903053,6.3396378,6.428264
2005-11-16 00:00:00,5.1843624,5.3671885,6.2805533,5.5621777,5.8200693,6.733578,6.021793,6.4091606,6.2742176,5.735139,6.5358453,5.8855877,6.1106973,6.519332,5.7530074,6.377948,6.2995048,6.0911074,6.258122,5.906842,5.814199,6.0871487,5.922992,6.5796604,6.778124
2005-12-16 12:00:00,5.9084797,6.534829,5.617907,6.570599,6.5998116,5.7785926,6.589669,5.898356,6.0454383,5.438104,5.7835364,5.8321986,6.584623,6.1117496,6.4856625,6.083471,5.6201706,5.6740985,6.1410513,5.951864,6.50092,5.8537025,6.256674,6.477994,6.072758
2006-01-16 12:00:00,5.6383505,5.7177563,6.0769258,5.8797727,6.35451,6.412828,6.192565,5.5524073,5.5737977,5.970133,6.1258,5.8259687,6.5934186,5.8196297,6.6217785,6.0924582,5.594921,5.905826,5.9705396,5.546718,6.67998,5.5567365,6.273852,5.8928065,5.6538916
2006-02-15 00:00:00,6.268297,5.7613864,5.8530893,5.3373227,5.6583295,6.1457005,6.1082096,5.3161945,6.4506874,5.5307603,6.5852823,5.9748697,6.099241,6.091339,6.6445837,5.372717,5.8205175,5.031442,5.452168,5.484949,6.1621723,6.466086,6.6167984,6.2737927,5.5480804
2006-03-16 12:00:00,5.4766226,5.5475364,5.812595,5.587488,5.6410403,5.63621,6.0112076,5.8123302,6.130727,5.5035734,6.0061088,5.5922046,5.8188925,5.571322,6.2681937,5.4972,5.700704,5.5449924,5.362818,5.3538413,5.8040104,6.5803432,6.9036484,5.8893476,6.1639977
2006-04-16 00:00:00,5.7818747,6.0042224,5.244591,5.935854,5.7899604,5.900489,5.872718,6.002839,5.5978975,5.208229,6.123476,6.0274596,5.918051,5.3158755,6.4282684,5.866857,5.3353705,5.5293174,6.2629056,5.295912,5.754682,5.949426,5.598917,6.2366467,5.500641
2006-05-16 12:00:00,5.958939,5.9488964,5.414672,5.2580614,5.132925,5.6182523,5.962099,5.780693,5.865402,5.0861063,6.235151,5.9294744,5.538961,5.11061,5.5637794,5.8743563,5.006188,5.6833396,5.466466,5.507195,5.6221986,5.6906295,5.247214,6.169119,5.72989
2006-06-16 00:00:00,5.8550115,5.277432,5.2680535,5.082777,5.3988256,5.3986425,5.017998,5.105589,5.305868,5.787345,5.1810446,5.753076,4.427536,4.4322224,4.465309,5.778953,4.860262,5.0183415,5.729026,5.902734,4.7175035,5.526888,5.0372343,5.036899,4.6336074
2006-07-16 12:00:00,5.3185935,4.9689875,4.9261575,5.3979855,5.222725,5.242547,5.1803784,5.103892,5.421364,4.705593,4.9717865,4.4850316,4.9464474,4.29684,5.215804,5.709951,4.6879444,4.9286923,5.59382,5.1606426,4.5622807,4.817356,5.080408,4.781145,4.929307
2006-08-16 12:00:00,5.242684,5.7132773,4.8095036,4.9794216,5.0579157,5.449686,5.0279837,4.670832,5.371405,5.1593323,6.14059,5.224943,5.998899,5.5687246,4.895669,5.5264416,4.949757,5.272106,5.5390286,4.8983603,5.123484,5.9327097,5.0659614,4.9441705,4.9530888
2006-09-16 00:00:00,5.334748,6.112954,5.250761,5.559138,5.358259,5.3198557,5.3426666,5.894906,5.8195496,5.0799537,5.4240746,5.276023,6.114279,5.3049097,5.6198635,5.282961,5.4492984,5.553117,5.7625375,5.344294,4.8905606,4.9884963,5.3765745,5.5840554,6.1214643
2006-10-16 12:00:00,5.680327,5.7380667,5.8405566,5.8886685,5.21943,5.445363,5.6610336,6.599134,5.7364907,5.9795704,5.776037,5.6778965,6.651992,5.4271264,6.043762,5.1374764,5.904079,6.2943735,5.4841633,5.7074084,5.84481,6.1759644,6.1440377,5.85004,5.498179
2006-11-16 00:00:00,5.9967594,5.509537,5.5084815,6.654274,6.0601993,5.5276523,5.5675235,5.7143755,5.9905543,6.502108,5.7678833,6.387724,6.112021,6.082523,6.947126,6.300877,5.373143,5.4548783,5.796763,6.431643,5.646341,5.5029044,5.9860735,5.8439965,6.3096976
